# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 19 06:59:25 2022
#
# User preference: *
#
# CONSTRAINT:  order by pl_bmasse asc, pl_bmassj asc
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
loc_rowid,pl_name,discoverymethod,disc_year,pl_bmasse,pl_bmassj,pl_rvamp,st_mass
33,2MASS J01225093-2439505 b,Imaging,2013,,,,0.35
58,51 Eri b,Imaging,2015,,,,1.65
60,51 Eri b,Imaging,2015,,,,1.65
96,55 Cnc e,Radial Velocity,2004,,,6.300,
98,55 Cnc e,Radial Velocity,2004,,,,0.90
144,AU Mic b,Transit,2020,,,,
152,AU Mic c,Transit,2021,,,,
162,BD+20 594 b,Transit,2016,,,,0.96
204,CoRoT-11 b,Transit,2010,,,,1.56
211,CoRoT-12 b,Transit,2010,,,,1.08
214,CoRoT-13 b,Transit,2010,,,,1.09
227,CoRoT-18 b,Transit,2011,,,,0.95
231,CoRoT-19 b,Transit,2011,,,,1.21
238,CoRoT-2 b,Transit,2008,,,,
239,CoRoT-2 b,Transit,2008,,,,
243,CoRoT-2 b,Transit,2008,,,,0.97
266,CoRoT-29 b,Transit,2015,,,,0.90
272,CoRoT-3 b,Transit,2008,,,,1.41
304,CoRoTID 223977153 b,Transit,2017,,,,1.08
319,DS Tuc A b,Transit,2019,,,,1.01
320,DS Tuc A b,Transit,2019,,,,
321,EPIC 201170410.02,Transit,2020,,,,0.29
322,EPIC 201238110 b,Transit,2019,,,,0.41
323,EPIC 201238110 b,Transit,2019,,,,
324,EPIC 201427007 b,Transit,2021,,,,
325,EPIC 201497682 b,Transit,2019,,,,0.78
326,EPIC 201595106 b,Transit,2021,,,,1.02
327,EPIC 201595106 b,Transit,2021,,,,
328,EPIC 201595106 b,Transit,2021,,,,
329,EPIC 201615463 c,Transit,2019,,,,1.07
330,EPIC 201754305 d,Transit,2019,,,,0.67
331,EPIC 201757695.02,Transit,2020,,,,0.73
332,EPIC 201833600 c,Transit,2019,,,,
333,EPIC 201833600 c,Transit,2019,,,,0.61
334,EPIC 201841433 b,Transit,2019,,,,
335,EPIC 201841433 b,Transit,2019,,,,0.80
336,EPIC 201841433 b,Transit,2019,,,,0.80
337,EPIC 205950854 c,Transit,2019,,,,0.91
338,EPIC 205950854 c,Transit,2019,,,,
339,EPIC 205950854 c,Transit,2019,,,,0.88
340,EPIC 206024342 b,Transit,2019,,,,0.93
341,EPIC 206024342 b,Transit,2019,,,,
342,EPIC 206024342 c,Transit,2021,,,,
343,EPIC 206024342 c,Transit,2021,,,,
344,EPIC 206024342 c,Transit,2021,,,,
345,EPIC 206024342 d,Transit,2021,,,,
346,EPIC 206024342 d,Transit,2021,,,,
347,EPIC 206024342 d,Transit,2021,,,,
348,EPIC 206024342 d,Transit,2021,,,,
349,EPIC 206032309 b,Transit,2019,,,,0.22
350,EPIC 206042996 b,Transit,2019,,,,
351,EPIC 206042996 b,Transit,2019,,,,0.56
352,EPIC 206042996 b,Transit,2019,,,,
353,EPIC 206042996 c,Transit,2021,,,,
354,EPIC 206042996 c,Transit,2021,,,,
355,EPIC 206215704 b,Transit,2019,,,,0.41
356,EPIC 206215704 b,Transit,2019,,,,
357,EPIC 206215704 b,Transit,2019,,,,
358,EPIC 206317286 b,Transit,2019,,,,0.71
359,EPIC 206317286 b,Transit,2019,,,,
360,EPIC 206317286 c,Transit,2022,,,,
361,EPIC 206317286 c,Transit,2022,,,,
362,EPIC 206317286 c,Transit,2022,,,,0.83
363,EPIC 211822797 b,Transit,2016,,,,
364,EPIC 211822797 b,Transit,2016,,,,0.59
365,EPIC 211822797 b,Transit,2016,,,,0.66
366,EPIC 211822797 b,Transit,2016,,,,0.61
367,EPIC 211822797 b,Transit,2016,,,,0.62
368,EPIC 211822797 b,Transit,2016,,,,0.59
370,EPIC 211945201 b,Transit,2018,,,,1.17
371,EPIC 211945201 b,Transit,2018,,,,1.16
372,EPIC 211945201 b,Transit,2018,,,,1.16
373,EPIC 211945201 b,Transit,2018,,,,
374,EPIC 211945201 b,Transit,2018,,,,
375,EPIC 211945201 b,Transit,2018,,,,
376,EPIC 211945201 b,Transit,2018,,,,
377,EPIC 212297394 b,Transit,2019,,,,
378,EPIC 212297394 b,Transit,2019,,,,0.83
379,EPIC 212297394 b,Transit,2019,,,,0.83
380,EPIC 212297394 c,Transit,2016,,,,0.83
381,EPIC 212297394 c,Transit,2016,,,,0.83
382,EPIC 212297394 c,Transit,2016,,,,
383,EPIC 212424622 b,Transit,2019,,,,1.11
384,EPIC 212424622 b,Transit,2019,,,,
385,EPIC 212499991 b,Transit,2019,,,,0.91
386,EPIC 212587672 b,Transit,2019,,,,0.95
387,EPIC 212587672 b,Transit,2019,,,,
388,EPIC 212587672 b,Transit,2019,,,,0.99
389,EPIC 212587672 c,Transit,2016,,,,1.13
390,EPIC 212587672 c,Transit,2016,,,,1.13
391,EPIC 212587672 c,Transit,2016,,,,
392,EPIC 212587672 c,Transit,2016,,,,0.99
393,EPIC 212587672 c,Transit,2016,,,,
394,EPIC 212587672 c,Transit,2016,,,,
395,EPIC 212624936 b,Transit,2021,,,,
396,EPIC 212624936 c,Transit,2021,,,,
397,EPIC 212624936 c,Transit,2021,,,,
398,EPIC 212737443 b,Transit,2019,,,,0.69
399,EPIC 212737443 b,Transit,2019,,,,0.72
400,EPIC 212737443 b,Transit,2019,,,,0.72
401,EPIC 212737443 c,Transit,2019,,,,0.69
402,EPIC 220492298 b,Transit,2021,,,,
403,EPIC 220554210 c,Transit,2019,,,,
404,EPIC 220554210 c,Transit,2019,,,,
405,EPIC 220554210 c,Transit,2019,,,,0.94
406,EPIC 220674823 b,Transit,2016,,,,0.93
410,EPIC 220674823 b,Transit,2016,,,,
411,EPIC 220674823 b,Transit,2016,,,,
412,EPIC 220674823 b,Transit,2016,,,,0.97
